Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Yellow,266773,88,0.429,0.661,-7.227,173.372,0.00239,0.0281,0.000121,0.234,0.285
exes,159400,83,0.821,0.575,-6.57,136.962,0.173,0.0589,0.000242,0.114,0.611
Ric Flair Drip (with Metro Boomin),172800,82,0.88,0.428,-8.28,100.007,0.149,0.206,5.05e-05,0.114,0.333
"One Of The Girls (with JENNIE, Lily Rose Depp)",244684,89,0.264,0.64,-6.221,84.828,0.0393,0.0442,2.31e-06,0.151,0.19
Juna,195109,80,0.606,0.714,-6.244,141.512,0.238,0.0339,0.098,0.106,0.448
Porch Light,184949,78,0.647,0.477,-8.264,142.034,0.0585,0.0356,0.0,0.159,0.477
Pain,98544,81,0.829,0.617,-8.497,125.605,0.227,0.14,0.00306,0.0618,0.81
The Color Violet,226466,83,0.645,0.534,-10.8,105.02,0.157,0.0479,0.0,0.0863,0.463
Blinding Lights,200040,87,0.513,0.73,-5.94,171.001,0.00143,0.0598,9.54e-05,0.0897,0.334
Miles On It,168355,81,0.634,0.761,-4.752,129.963,0.00537,0.0472,0.0,0.549,0.785
Work Song,229720,77,0.531,0.363,-7.672,121.412,0.749,0.0608,0.0,0.112,0.259
Yeah! (feat. Lil Jon & Ludacris),250373,83,0.894,0.791,-4.699,105.018,0.0183,0.112,0.0,0.0388,0.583
You’re Gonna Go Far,286369,80,0.586,0.358,-9.761,169.925,0.556,0.0308,0.0,0.11,0.365
Viva La Vida,242373,85,0.486,0.617,-7.115,138.015,0.0954,0.0287,3.23e-06,0.109,0.417
I Can Do It With a Broken Heart,218004,83,0.701,0.751,-8.39,129.994,0.123,0.0502,0.0,0.15,0.22
Fade Into You,295600,82,0.417,0.33,-13.925,157.113,0.247,0.0275,0.000689,0.0677,0.175
Locked out of Heaven,233478,88,0.726,0.698,-4.165,143.994,0.049,0.0431,0.0,0.309,0.867
Wind Up Missin’ You,166666,78,0.571,0.717,-5.807,171.858,0.508,0.0365,1.17e-06,0.112,0.661
Fortnight (feat. Post Malone),228965,84,0.504,0.386,-10.976,192.004,0.502,0.0308,1.53e-05,0.0961,0.281
Everybody Wants To Rule The World,251488,84,0.645,0.795,-12.095,112.067,0.347,0.0527,0.00389,0.104,0.535
"What Was I Made For? [From The Motion Picture ""Barbie""]",222369,85,0.391,0.084,-17.843,79.449,0.953,0.0317,0.0,0.0983,0.111
Daddy Issues,260173,84,0.588,0.521,-9.461,85.012,0.0678,0.0329,0.149,0.123,0.337
Broken Clocks,231253,80,0.692,0.684,-7.364,112.912,0.131,0.155,0.0,0.156,0.406
Too Sweet,251424,77,0.741,0.62,-5.505,117.038,0.0295,0.0412,0.000809,0.0398,0.934
That's What I Like,206693,87,0.853,0.56,-4.961,134.066,0.013,0.0406,0.0,0.0944,0.86
Dial Drunk (with Post Malone),213817,79,0.669,0.606,-7.193,112.108,0.124,0.0292,0.0,0.112,0.69
Devil You Know,192693,79,0.52,0.8,-4.256,93.155,0.00801,0.041,0.0,0.303,0.538
Slim Pickins,152195,80,0.619,0.542,-8.681,99.824,0.288,0.0529,0.0,0.151,0.308
Story of My Life,245493,87,0.6,0.663,-5.802,121.07,0.225,0.0477,0.0,0.119,0.286
Beautiful Things,180304,85,0.472,0.471,-5.692,105.029,0.151,0.0603,0.0,0.14,0.219
The Middle,165853,80,0.643,0.849,-5.428,162.152,0.0371,0.0526,0.0,0.058,0.903
360,133805,81,0.857,0.62,-8.13,120.042,0.646,0.0472,0.244,0.0934,0.796
Just the Way You Are,220734,84,0.635,0.841,-5.379,109.021,0.0134,0.0422,0.0,0.0622,0.424
Circles,215280,83,0.695,0.763,-3.497,120.042,0.189,0.0396,0.00242,0.0863,0.551
Unwritten,259333,85,0.706,0.8,-6.333,100.011,0.00584,0.0399,0.0,0.0822,0.629
Kiss Me,208680,83,0.526,0.749,-6.964,99.982,0.023,0.0283,1.76e-06,0.0692,0.421
We Ride,188482,78,0.62,0.706,-4.176,81.989,0.0755,0.0251,7.78e-06,0.185,0.591
TRUCK BED,167534,77,0.663,0.77,-4.88,132.058,0.0876,0.0371,0.0,0.352,0.772
we can't be friends (wait for your love),228639,86,0.645,0.646,-8.334,115.842,0.0615,0.0427,3.04e-05,0.074,0.295
Love Me,255053,82,0.67,0.634,-6.471,124.926,0.0124,0.0326,0.0,0.0946,0.497
One Dance,173986,85,0.792,0.625,-5.609,103.967,0.00776,0.0536,0.0018,0.329,0.37
Don’t Smile,206295,79,0.628,0.453,-10.141,89.969,0.448,0.0271,0.000538,0.165,0.328
Where It Ends,179294,77,0.431,0.837,-5.067,170.041,0.259,0.0432,0.0,0.0879,0.648
greedy,131872,85,0.749,0.729,-3.19,111.004,0.261,0.0321,0.0,0.113,0.816
All My Love,251510,77,0.666,0.665,-7.181,116.002,0.309,0.0534,0.0,0.0961,0.474
Who,170887,87,0.66,0.757,-3.743,116.034,0.00289,0.0321,0.0,0.193,0.838
