Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
No Comma,161266,55,0.675,0.743,-5.694,139.913,0.0829,0.242,2.67e-06,0.329,0.314
ultraphunk,115421,66,0.713,0.988,1.384,117.049,0.0214,0.202,5.4e-05,0.169,0.589
5g,209706,52,0.57,0.618,-6.692,138.485,0.238,0.252,0.0,0.262,0.71
two bad,214761,53,0.661,0.656,-2.664,133.105,0.0337,0.274,0.000108,0.136,0.743
venus fly trap,295786,52,0.406,0.765,-7.199,147.935,0.563,0.0919,0.0,0.334,0.65
Savage (feat. Flux Pavilion & MAX),205333,52,0.679,0.662,-5.861,90.054,0.151,0.0773,0.0,0.376,0.365
poster boy,121089,53,0.683,0.959,-0.505,111.035,0.0804,0.056,3.84e-06,0.0708,0.912
heather,111875,52,0.708,0.745,-3.2,99.962,0.00926,0.0866,0.0,0.199,0.84
i dont want that many friends in the first place,109033,51,0.609,0.8,-3.413,158.674,0.000547,0.0364,9.28e-05,0.388,0.367
Baby My Phone,215771,53,0.427,0.666,-7.902,85.022,0.176,0.0415,0.229,0.0856,0.232
eyes don't lie sped up,129931,61,0.574,0.562,-10.563,145.044,0.0149,0.052,0.124,0.0874,0.0645
fear no man,116248,50,0.634,0.636,-6.445,129.996,0.0933,0.144,0.0,0.686,0.468
Dopamine (Split Brain Version),165461,55,0.633,0.609,-8.797,136.009,0.136,0.0474,0.0475,0.221,0.516
Western Union,120000,53,0.705,0.659,-7.808,147.963,0.727,0.1,0.0727,0.148,0.584
High (& Dua Lipa),196706,60,0.708,0.552,-5.552,147.839,0.0922,0.211,0.0,0.0541,0.686
When I'm Down,164680,51,0.827,0.769,-4.058,93.986,0.209,0.126,9.54e-05,0.091,0.491
I Really F**ked It Up,165746,52,0.619,0.673,-6.801,164.961,0.055,0.0506,0.00106,0.146,0.421
Adding,170794,53,0.629,0.534,-10.197,84.04,0.0603,0.217,0.0,0.132,0.715
757,126426,50,0.343,0.905,-2.829,200.216,0.0021,0.539,0.0,0.0984,0.628
kickstand,130207,50,0.757,0.713,-5.559,125.993,0.0808,0.0528,0.0,0.103,0.456
When I Rule the World,185813,52,0.768,0.633,-4.089,129.074,0.00951,0.157,0.0,0.199,0.824
mememe,166013,50,0.457,0.753,-2.74,151.61,0.0109,0.117,0.0,0.196,0.615
butterflies,144474,57,0.311,0.484,-7.089,76.012,0.319,0.0461,5.48e-06,0.117,0.311
"ringtone (Remix) [feat. Charli XCX, Rico Nasty, Kero Kero Bonito]",214529,51,0.849,0.473,-7.548,107.001,0.115,0.2,0.0,0.0488,0.616
just not sure,170206,50,0.686,0.372,-10.976,133.671,0.235,0.248,0.0,0.499,0.397
stupid horse,121681,50,0.526,0.902,-4.876,168.188,0.0529,0.314,0.0,0.531,0.797
intellectual greed,209973,49,0.463,0.582,-7.953,175.085,0.112,0.255,0.0,0.105,0.317
HELP,136000,57,0.438,0.683,-8.303,120.007,0.267,0.0519,0.194,0.64,0.427
say what u mean (with Riovaz),151250,49,0.536,0.83,-3.705,163.005,0.0658,0.342,4.41e-05,0.286,0.48
safety,148281,51,0.593,0.737,-5.738,140.155,0.00129,0.104,0.000116,0.381,0.127
light,165428,51,0.625,0.599,-4.935,140.036,0.193,0.163,1.14e-05,0.253,0.692
Antisocial 2,409782,49,0.549,0.93,-6.453,143.066,0.0672,0.788,0.0,0.973,0.511
help_urself,139651,55,0.413,0.624,-10.353,82.516,0.00859,0.0682,0.0178,0.132,0.0814
Only in the West,196170,49,0.955,0.544,-6.872,116.961,0.074,0.0888,0.0535,0.216,0.527
i know you hate me,124516,49,0.524,0.579,-4.975,93.807,0.523,0.0946,0.0,0.172,0.788
Tally (with Denzel Curry),147745,48,0.687,0.871,-2.587,121.981,0.0405,0.129,0.0,0.737,0.626
bugging!,196693,49,0.735,0.594,-7.817,90.028,0.292,0.227,0.0,0.121,0.762
dopamine,165461,51,0.675,0.576,-8.332,136.024,0.154,0.0517,0.00154,0.163,0.562
icarus,116504,49,0.621,0.838,-5.006,103.103,0.0416,0.0909,0.0,0.347,0.329
Whitley,96000,54,0.773,0.286,-13.964,119.986,0.538,0.0493,0.00195,0.172,0.67
encore,169266,50,0.758,0.923,-7.248,127.044,0.0689,0.177,0.314,0.097,0.144
favorite sped up,122576,57,0.805,0.562,-6.995,105.744,0.00624,0.172,0.145,0.0874,0.393
HEAVEN,139000,55,0.637,0.468,-8.418,119.966,0.731,0.258,0.0804,0.081,0.405
WIZZ - COBRAH REMIX,160000,51,0.766,0.701,-8.089,135.991,0.261,0.0737,0.447,0.0886,0.568
Erotic Electronic,143618,50,0.789,0.755,-6.168,115.022,0.0408,0.105,0.000224,0.157,0.315
whiplash,167244,49,0.69,0.561,-4.431,127.01,0.0128,0.0682,0.00118,0.508,0.406
sister,215813,50,0.588,0.824,-7.096,127.733,0.0313,0.146,0.000467,0.115,0.73
"Hi, I'm a Slut",170823,49,0.718,0.658,-7.004,170.064,0.0667,0.373,0.00189,0.22,0.259
Reason Why (feat. Kim Petras and BC Kingdom),232374,47,0.674,0.657,-9.177,115.497,0.00308,0.031,0.111,0.111,0.358
Anthems For A Seventeen Year-Old Girl,212750,48,0.411,0.528,-8.54,168.146,0.0274,0.0254,0.693,0.128,0.148
Calcium,224643,51,0.568,0.455,-11.299,154.92,0.869,0.174,0.000861,0.112,0.343
i wanna slam my head against the wall,116550,48,0.476,0.816,-3.412,182.269,0.0605,0.139,0.0,0.107,0.584
minnesota is a place that exists,138000,48,0.499,0.903,-3.275,159.928,0.0129,0.0687,0.0,0.186,0.664
fall at the same time,142666,48,0.734,0.606,-6.223,134.902,0.00784,0.0355,1.31e-06,0.112,0.434
introvert,374546,47,0.412,0.338,-11.228,107.77,0.566,0.0559,1.13e-06,0.123,0.498
Superlove (feat. Oh Wonder),184814,47,0.578,0.491,-8.544,98.273,0.203,0.21,0.000378,0.182,0.64
the prom,131950,48,0.581,0.633,-5.176,182.638,0.0585,0.155,0.0,0.0633,0.715
Doritos & Fritos,196893,48,0.631,0.983,-2.602,171.908,0.0235,0.153,1.28e-06,0.0699,0.89
lastjune,151015,47,0.608,0.574,-6.054,161.0,0.024,0.0636,0.0,0.0945,0.391
Faceshopping,236937,46,0.568,0.441,-7.273,113.928,0.0532,0.271,0.00152,0.0684,0.306
Locals (Girls like us) [with gabby start],258084,47,0.722,0.683,-5.538,133.966,0.0113,0.175,0.0,0.0942,0.514
