Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
It's Beginning to Look a Lot like Christmas,207199,65,0.331,0.223,-11.274,92.896,0.88,0.0338,5.92e-06,0.343,0.355
The World Was Wide Enough,302191,59,0.653,0.351,-12.776,116.6,0.467,0.648,0.0,0.107,0.307
Runnin',296266,61,0.754,0.785,-8.178,94.123,0.0287,0.18,0.00144,0.319,0.821
Linus And Lucy,184440,56,0.381,0.37,-15.948,81.06,0.804,0.0391,0.247,0.14,0.814
'Tis Autumn,188933,57,0.403,0.0728,-20.622,178.645,0.966,0.0603,7.04e-05,0.106,0.152
"Caroling, Caroling",121986,57,0.307,0.384,-11.147,185.341,0.752,0.0305,0.0,0.0649,0.588
The Girl From Ipanema,320253,66,0.654,0.147,-17.844,130.359,0.867,0.039,0.000923,0.0986,0.472
Great Pumpkin Waltz,146573,56,0.33,0.129,-22.477,152.381,0.989,0.0425,0.912,0.107,0.461
Try a Little Tenderness,201733,60,0.587,0.133,-15.151,102.938,0.186,0.0565,2.26e-05,0.258,0.068
Feather (feat. Cise Starr & Akin from CYNE),175360,63,0.565,0.749,-6.629,180.598,0.655,0.0769,0.432,0.106,0.881
A Kiss To Build A Dream On - Single Version,181493,62,0.722,0.0811,-14.113,88.044,0.779,0.0631,0.0,0.509,0.36
"Hello, Dolly!",147000,64,0.0,0.405,-9.935,0.0,0.842,0.0,0.00114,0.198,0.0
Sleigh Ride,175986,59,0.593,0.287,-12.472,77.117,0.764,0.0469,0.0,0.153,0.639
I'll Never Smile Again,189466,60,0.34,0.144,-16.383,85.399,0.993,0.0285,0.776,0.418,0.0655
Rudolph The Red-Nosed Reindeer,135760,61,0.478,0.201,-16.79,136.47,0.919,0.0332,0.0,0.0854,0.857
Orange Colored Sky,153866,59,0.536,0.24,-15.198,128.897,0.92,0.0813,0.0,0.111,0.489
After the Love Has Gone,278040,64,0.424,0.443,-13.45,131.675,0.532,0.0382,0.000389,0.673,0.391
Nothing Can Change This Love,158680,59,0.373,0.301,-11.843,65.488,0.769,0.0314,0.0,0.0816,0.436
Holly Jolly Christmas,121526,65,0.609,0.427,-8.639,151.433,0.857,0.0417,0.0,0.0898,0.741
Dream A Little Dream Of Me - Single Version,185160,63,0.443,0.104,-17.042,76.474,0.913,0.101,0.0,0.191,0.394
