Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Love Sosa,246213,77,0.772,0.413,-8.194,131.964,0.0361,0.0891,0.0,0.111,0.211
Under The Influence,184613,84,0.755,0.562,-8.947,116.931,0.0186,0.0355,0.000231,0.18,0.368
Wagon Wheel,298373,76,0.535,0.66,-7.174,148.044,0.455,0.0297,0.0,0.135,0.577
Location,219080,76,0.736,0.449,-11.462,80.126,0.33,0.425,0.000162,0.0898,0.326
I'm Good (Blue),175238,85,0.561,0.965,-3.673,128.04,0.00383,0.0343,7.07e-06,0.371,0.304
Call Out My Name,228373,83,0.461,0.593,-4.954,134.165,0.165,0.0356,0.0,0.307,0.174
Belong to the City,98023,77,0.582,0.482,-9.813,88.198,0.709,0.0479,0.00138,0.129,0.193
Love Songs - Bonus,148640,80,0.64,0.355,-10.599,120.063,0.83,0.0906,0.000938,0.11,0.451
Can't Feel My Face,213520,80,0.705,0.769,-5.526,107.949,0.113,0.0425,0.0,0.105,0.583
Superpowers,174512,78,0.459,0.433,-8.983,106.626,0.614,0.0367,0.0285,0.19,0.0482
Save Your Tears,215626,84,0.679,0.825,-5.487,118.049,0.0212,0.0309,1.21e-05,0.543,0.644
If I Ain't Got You,228706,82,0.609,0.444,-9.129,118.402,0.603,0.106,6.86e-06,0.104,0.166
Me & U,192213,77,0.803,0.454,-4.802,99.99,0.352,0.0294,0.0,0.0655,0.739
N o C h i l l,265373,78,0.575,0.411,-9.022,81.755,0.509,0.0619,0.00321,0.0884,0.062
Mirage,57495,76,0.683,0.468,-10.058,117.095,0.87,0.0743,0.673,0.108,0.47
Don't Bring Me Down,243373,76,0.638,0.867,-6.469,115.692,0.144,0.0331,0.000733,0.0846,0.805
Coming Down,295435,75,0.694,0.649,-5.262,120.973,0.303,0.0353,2.41e-05,0.206,0.344
Rock with You - Single Version,220626,79,0.808,0.535,-12.521,114.031,0.179,0.0353,9.91e-05,0.158,0.848
Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),215466,83,0.854,0.674,-6.23,99.022,0.0517,0.184,8.53e-05,0.509,0.848
My Boo,223440,79,0.662,0.507,-8.238,86.412,0.257,0.118,0.0,0.0465,0.676
Friends,230010,82,0.328,0.608,-6.368,107.384,0.0117,0.038,6.45e-06,0.108,0.0796
"1, 2 Step (feat. Missy Elliott)",203786,75,0.944,0.511,-10.96,113.046,0.042,0.161,0.00107,0.0379,0.842
Paranoid - 2012 - Remaster,168405,71,0.412,0.658,-12.051,163.071,4.52e-05,0.0708,0.000774,0.176,0.454
Billie Jean,294226,81,0.932,0.457,-9.62,117.002,0.0173,0.0541,0.0436,0.0414,0.884
Upset (feat. Tommy Richman & FELIX!),177899,76,0.856,0.5,-9.393,135.03,0.487,0.18,0.0,0.104,0.886
Thriller - Single Version,312413,74,0.777,0.818,-5.64,118.405,0.0906,0.0462,2.98e-05,0.714,0.847
Kiss Me Thru The Phone,193386,76,0.758,0.712,-3.781,150.001,0.0188,0.112,0.0,0.0677,0.794
Back On 74,209482,79,0.62,0.761,-7.282,146.003,0.207,0.175,0.000147,0.269,0.194
"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ Mustard) - Remix",242983,78,0.805,0.33,-8.712,121.97,0.22,0.1,0.0,0.105,0.211
Come a Little Closer,229346,72,0.44,0.778,-1.786,148.038,0.0265,0.0327,1.04e-06,0.151,0.304
For What It's Worth,153693,76,0.653,0.519,-10.164,98.883,0.406,0.0497,0.0209,0.101,0.822
Been Away,223629,75,0.602,0.5,-9.377,132.798,0.477,0.298,5.69e-05,0.295,0.395
Be My Baby,160906,79,0.512,0.771,-7.006,129.639,0.168,0.0402,0.0,0.0895,0.803
