Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Morena Cor do Pecado,133877,44,0.708,0.305,-10.192,104.432,0.307,0.841,8.82e-06,0.12,0.86
Dentro do Carro - Ao Vivo,177664,45,0.878,0.971,-4.702,149.905,0.276,0.233,0.0,0.962,0.891
Novinha de Goiânia,110793,52,0.806,0.832,-1.33,64.968,0.163,0.227,0.103,0.137,0.951
Tropa do Menino Rei,135157,35,0.933,0.443,-8.73,135.107,0.0707,0.24,0.0,0.0528,0.849
No Baile Nós É Mídia,122070,49,0.698,0.786,-3.985,83.572,0.44,0.698,0.0,0.111,0.912
Talarica,162000,48,0.826,0.895,-4.828,160.069,0.22,0.49,0.0,0.0572,0.623
Barbie (feat. Danny Bond),149514,39,0.854,0.873,-4.862,150.093,0.142,0.274,0.0,0.589,0.965
Peça Nova,143047,30,0.551,0.769,-6.212,149.984,0.563,0.389,0.0,0.22,0.731
Talarica,162000,47,0.826,0.895,-4.828,160.069,0.22,0.49,0.0,0.0572,0.623
Vem Pro Vuk Vuk,136377,44,0.837,0.478,-10.155,132.087,0.576,0.329,0.000732,0.103,0.74
Mortal Kombat,134002,45,0.842,0.835,-2.698,129.796,0.183,0.423,0.000793,0.3,0.672
Lombradão,123697,44,0.919,0.332,-3.929,129.897,0.279,0.542,7.31e-05,0.164,0.852
Carro Bicho do Chefe,77826,19,0.914,0.419,-3.091,129.983,0.0447,0.385,0.0,0.22,0.795
Sobe Balão Desce Princesa,211200,44,0.682,0.401,-6.139,150.062,0.11,0.485,1.88e-06,0.0388,0.676
Aquecimento Gaiolagem,139463,40,0.735,0.716,-4.316,170.05,0.333,0.301,0.0224,0.609,0.659
Vem de Sainha,181289,46,0.895,0.671,-3.338,130.026,0.173,0.0501,3.62e-05,0.287,0.491
Deslizo e Jogo,152181,40,0.685,0.558,-4.826,100.017,0.283,0.839,0.0,0.0671,0.423
Senta no Fazendeiro,146233,41,0.727,0.601,-5.037,130.057,0.569,0.052,0.0,0.0566,0.723
Qual Vai Ser?,107076,28,0.92,0.425,-4.844,129.938,0.479,0.0991,0.0,0.162,0.821
Falso Milionário,112620,43,0.555,0.626,-8.828,171.721,0.352,0.358,8.48e-05,0.102,0.521
Moreno Tatuado,161931,43,0.725,0.694,-7.542,81.033,0.5,0.285,5.69e-05,0.213,0.801
Quer Fuder Com os Sem Amor X Soca Tcheca É Bom Abessa - Remix,85333,28,0.928,0.452,-2.981,135.128,0.345,0.269,3.47e-05,0.346,0.924
Eu não vou embora,225586,35,0.558,0.433,-12.101,149.938,0.0175,0.106,1.08e-06,0.118,0.586
Primeira Vez,114466,44,0.705,0.706,-6.303,162.617,0.0973,0.162,1.33e-05,0.111,0.399
Cavucando,138350,43,0.936,0.747,0.319,130.027,0.06,0.105,0.00294,0.295,0.671
Trep4 por Cima da Pik4,166320,46,0.868,0.809,-5.828,130.041,0.222,0.0558,0.0261,0.225,0.877
Outro Planeta,147428,28,0.834,0.769,-5.264,139.961,0.0548,0.0582,0.0,0.1,0.552
Rock Doido Tropa do Pará,151578,44,0.839,0.877,-6.823,94.987,0.084,0.122,0.0,0.0322,0.548
Repara,237910,39,0.848,0.713,-4.145,147.005,0.354,0.292,0.0,0.0637,0.776
De Treta Em Treta,192024,44,0.62,0.414,-7.916,173.829,0.708,0.899,0.0,0.319,0.319
Mina da Barra,151384,38,0.9,0.763,-5.311,130.017,0.397,0.0626,0.0,0.0932,0.827
Tu Tá na Gaiola - Radio Edit,96104,43,0.874,0.959,-5.787,152.035,0.754,0.632,0.00025,0.0646,0.536
Para na Posição (feat. Tiél),177230,36,0.648,0.887,-3.787,64.649,0.0564,0.396,0.0,0.116,0.484
VOU ESCURECER SUA FAMILHA,166122,36,0.904,0.706,-3.767,150.045,0.0189,0.322,0.0,0.131,0.193
No Baile do Complexo,161333,21,0.905,0.371,-5.77,134.964,0.0112,0.515,0.0,0.0741,0.93
A NOVINHA QUE FALOU x EMPURRA EMPURRA x JOGA JOGA,85711,35,0.764,0.652,-4.768,134.855,0.489,0.279,2.66e-05,0.207,0.845
Apaga a Luz Apaga Tudo 150Bpm,147330,32,0.795,0.881,-1.214,75.179,0.145,0.371,0.0401,0.407,0.514
Dou o Meu Cú de Cabeça pra Baixo,134571,44,0.915,0.67,-5.095,105.047,0.0381,0.103,7.11e-06,0.0563,0.496
Pra Tirar Minha Bad,104222,40,0.783,0.312,-9.269,134.856,0.334,0.12,0.0,0.201,0.958
"Batatinha Frita 1, 2, 3",151442,40,0.896,0.559,-6.944,130.003,0.183,0.188,0.000291,0.143,0.59
Aquecimento da Macumbinha,201800,36,0.896,0.71,-4.397,149.985,0.7,0.351,0.0,0.496,0.525
MTG FODE FODE,86961,39,0.97,0.407,-3.039,130.074,0.629,0.148,0.0,0.0853,0.808
"Seu Gostoso, Rebola e Joga (feat. Mc Ka de Paris & Dj Novinho do Jaca)",158171,36,0.861,0.944,-0.467,169.899,0.366,0.346,0.0,0.557,0.893
Aumenta o Som,139255,39,0.917,0.557,-6.948,126.09,0.00723,0.149,2.84e-06,0.136,0.708
Toma Sua Cavalona - Remix,128893,39,0.917,0.727,-4.907,134.853,0.127,0.271,1.62e-05,0.108,0.855
Joga Descalço,106946,18,0.857,0.705,-4.151,132.196,0.253,0.365,0.0,0.17,0.691
O Que Sobrou (150Bpm),94408,42,0.735,0.596,-12.253,149.968,0.713,0.352,7.17e-06,0.145,0.305
Aqui na CDD,224000,45,0.871,0.972,-2.996,150.031,0.0657,0.126,4.28e-06,0.0879,0.935
Sem Você Não Sou Ninguém,96730,32,0.928,0.493,-3.646,129.933,0.0855,0.223,0.00983,0.0713,0.477
No Manguinho no Manguinho,112300,39,0.712,0.864,-4.327,74.638,0.0795,0.275,0.0,0.0655,0.834
Pitbullzado Loratcho Bradock,160104,40,0.715,0.767,-4.335,112.46,0.638,0.282,1.73e-05,0.0528,0.441
Essa Que É a Hora,139857,18,0.773,0.904,-0.993,139.917,0.508,0.193,0.000312,0.264,0.771
Sem Você Não Sou Ninguém - Remix,251076,34,0.864,0.619,-4.024,86.557,0.0239,0.223,0.00163,0.0863,0.626
Comprei um Lança - R3HAB Remix,112500,22,0.81,0.913,-4.551,104.052,0.0108,0.188,5.17e-05,0.0575,0.468
O Mundo e Putaria,243692,43,0.671,0.599,-0.597,82.615,0.636,0.268,0.0003,0.0952,0.823
Romance Proibido,157800,37,0.834,0.519,-4.802,149.964,0.399,0.173,4.34e-06,0.122,0.652
Calma Ai BB Calma Ai Paixão,204000,39,0.54,0.835,-5.198,191.758,0.0212,0.294,2.7e-05,0.056,0.878
Ritmada do Akon,113076,37,0.633,0.709,-2.995,127.175,0.214,0.457,0.0,0.0723,0.847
Se o Portão Tiver Trancado,103105,40,0.729,0.549,-7.26,170.051,0.59,0.246,6.42e-06,0.193,0.728
Seja Bem-Vinda na Gaiola,176587,35,0.788,0.575,-9.979,149.812,0.787,0.427,2.01e-05,0.0837,0.332
Mente de Vilão,190222,23,0.87,0.705,-5.667,135.08,0.559,0.334,0.0,0.091,0.454
