Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Can't Get Free,169240,6,0.428,0.685,-10.627,129.878,0.0724,0.027,0.289,0.169,0.456
Be an Idiot Pop Star,207346,9,0.503,0.771,-6.592,118.979,0.229,0.0861,0.018,0.416,0.611
For You,217513,17,0.562,0.434,-11.841,156.023,0.124,0.0274,0.203,0.0969,0.385
O Baby,199813,8,0.545,0.89,-7.599,106.949,0.0719,0.128,9.74e-05,0.362,0.72
Pop Out,120000,1,0.83,0.304,-15.903,80.026,0.465,0.357,0.0,0.102,0.478
poppin shi,121861,0,0.518,0.714,-6.043,138.032,0.000364,0.0322,0.00997,0.412,0.16
Pop Girls,215294,1,0.434,0.803,-7.74,136.04,6.98e-05,0.0446,0.885,0.0979,0.793
To Be,281200,4,0.385,0.453,-10.961,93.605,0.0528,0.0264,0.554,0.099,0.0624
On Top Of The World,265600,4,0.437,0.546,-14.422,129.709,0.157,0.0518,0.736,0.0756,0.169
Give In,273913,2,0.372,0.786,-6.053,91.987,0.642,0.0324,0.802,0.146,0.128
Pop It,132318,1,0.593,0.406,-15.191,124.192,0.393,0.077,0.0,0.0881,0.147
Poppin Shit,119172,0,0.81,0.695,-9.499,145.036,0.176,0.249,1.86e-06,0.118,0.706
Pop - Short Version,187013,0,0.658,0.685,-7.386,123.901,0.0635,0.0458,0.0224,0.133,0.844
Poppies,269874,0,0.437,0.423,-12.147,179.954,0.36,0.036,0.00933,0.14,0.206
Pop,220640,0,0.618,0.687,-6.298,123.911,0.00601,0.0405,0.000264,0.104,0.763
Fisher,225906,8,0.685,0.728,-9.015,146.991,0.0133,0.0657,0.029,0.0433,0.813
Dazed,222186,6,0.564,0.643,-8.359,110.02,7.94e-05,0.0272,0.557,0.396,0.282
Loveless,266466,6,0.568,0.619,-10.306,109.975,0.0242,0.0333,0.762,0.348,0.659
"Svefn-g-englar - Live at Popp í Reykjavík, 1998",710058,6,0.246,0.385,-14.683,116.525,0.617,0.0363,0.285,0.672,0.0375
Intro,102493,5,0.554,0.439,-12.435,180.247,0.888,0.0384,0.833,0.0796,0.469
Elephants Mobile,219546,5,0.694,0.351,-11.644,90.001,0.478,0.0284,0.0183,0.0897,0.213
Gong,127533,5,0.424,0.661,-8.143,199.929,0.092,0.0322,0.0462,0.128,0.401
Give Me Five,240560,5,0.729,0.771,-6.63,99.998,0.00448,0.0328,0.351,0.331,0.556
Weird World,238880,3,0.403,0.484,-10.601,220.111,0.0089,0.0642,0.515,0.112,0.393
Fade Into You,297160,5,0.248,0.399,-11.011,52.401,0.306,0.0283,0.00119,0.0728,0.198
I Am,232480,4,0.624,0.343,-12.161,100.011,0.00494,0.0277,0.502,0.212,0.166
Happy House,231706,4,0.543,0.705,-8.062,119.248,0.0111,0.0465,0.188,0.237,0.334
The Christmas Song,132600,5,0.611,0.843,-4.624,106.348,0.0267,0.0293,8.33e-05,0.127,0.584
The Bedroom Demos - Bonus Track,604346,4,0.459,0.427,-10.218,89.932,0.33,0.0356,0.627,0.0754,0.644
Nothings,203826,4,0.542,0.883,-8.677,110.035,0.00479,0.0395,0.648,0.257,0.0392
Sad God,231693,3,0.403,0.58,-6.265,107.597,0.879,0.0313,0.804,0.113,0.158
Nobody,257864,9,0.486,0.408,-15.582,92.013,0.153,0.0391,0.79,0.345,0.224
Been Poppin',143378,1,0.717,0.592,-6.468,153.913,0.0157,0.399,0.0,0.115,0.433
The Nightingale,296200,0,0.32,0.418,-15.852,97.877,0.449,0.0402,0.0269,0.0762,0.171
Scary Ride,265806,0,0.363,0.863,-7.179,93.004,0.0791,0.0415,0.817,0.0874,0.254
BABY BLUE,369160,9,0.781,0.566,-8.311,91.003,0.178,0.0564,0.524,0.216,0.791
"#8, aka, Popplagið",704773,1,0.129,0.6,-10.021,158.533,0.0527,0.043,0.773,0.109,0.172
Suicide of Pops,229000,1,0.714,0.419,-8.626,121.977,0.792,0.0525,0.454,0.109,0.245
はじめまして×Popteen (mash up mix by Tomggg),345000,9,0.669,0.66,-8.121,127.964,0.112,0.0339,4.92e-05,0.0807,0.663
Wedding With God (À Nijinski),154505,3,0.437,0.34,-10.004,138.24,0.765,0.0288,5.21e-05,0.136,0.222
ナイトクルージング,361453,1,0.52,0.771,-10.323,142.107,0.279,0.0685,0.653,0.275,0.661
