Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Shooting Stars,235813,65,0.636,0.72,-6.195,124.944,0.0893,0.0432,0.0178,0.0868,0.425
Where Did Our Love Go,153333,63,0.567,0.49,-10.867,134.923,0.79,0.0414,1.42e-05,0.0919,0.847
Two Occasions,258426,57,0.543,0.667,-9.546,169.633,0.0259,0.0716,3.96e-05,0.299,0.559
Got to Be Real,307946,64,0.836,0.626,-10.143,114.657,0.0943,0.0335,0.742,0.153,0.898
Papa Was A Rollin' Stone - Single Version,419640,62,0.817,0.405,-13.513,121.467,0.451,0.0811,0.0507,0.0468,0.898
That's the Way (I Like It) - 2004 Remaster,185106,60,0.68,0.877,-10.241,108.674,0.191,0.0353,0.000656,0.349,0.922
Walk on By,178333,65,0.7,0.33,-9.027,98.605,0.719,0.0303,8.6e-05,0.136,0.524
Crave You,234786,59,0.921,0.48,-9.2,120.043,0.1,0.0815,0.0,0.0764,0.318
Give It Up,254240,64,0.862,0.624,-11.63,124.896,0.0192,0.0565,0.000153,0.0465,0.882
Outstanding,198800,58,0.738,0.498,-12.091,99.084,0.223,0.0286,1.57e-05,0.155,0.774
Get Down On It,293666,64,0.847,0.389,-15.362,111.52,0.0753,0.0569,1.2e-05,0.0471,0.968
Destination Calabria - Radio Edit,223111,74,0.627,0.954,-4.804,128.016,0.0015,0.0425,0.000814,0.292,0.312
You Dropped A Bomb On Me,312906,57,0.786,0.627,-11.177,126.461,0.00737,0.0339,0.00186,0.181,0.831
Cruisin',352920,58,0.498,0.63,-5.808,169.115,0.416,0.0276,0.0,0.238,0.822
Mary Jane,297346,58,0.537,0.82,-7.011,94.429,0.256,0.127,1.93e-06,0.432,0.881
To Love Somebody,182000,67,0.434,0.384,-12.503,90.795,0.731,0.0324,4.11e-06,0.27,0.526
Baby I Need Your Loving,166026,60,0.632,0.686,-6.116,121.414,0.437,0.0395,0.0,0.193,0.65
I Will Survive,296106,69,0.77,0.775,-9.571,116.935,0.0227,0.0495,0.00262,0.297,0.802
I Just Want To Be Your Everything,225666,64,0.651,0.648,-7.44,97.017,0.167,0.0346,1.7e-05,0.192,0.868
Get Ready,164160,59,0.591,0.737,-5.867,133.025,0.404,0.0386,0.0,0.108,0.878
This Is for the Lover in You,304000,55,0.642,0.572,-7.345,177.514,0.475,0.0475,0.0,0.157,0.747
You've Really Got A Hold On Me,177706,58,0.68,0.448,-8.398,118.461,0.698,0.0302,0.0,0.227,0.567
Born to Be Alive - The Original,188133,72,0.704,0.868,-5.808,131.468,0.0834,0.0315,0.0,0.206,0.808
"Let's Hear It for the Boy - From ""Footloose"" Original Soundtrack",262440,61,0.808,0.485,-8.829,122.659,0.0761,0.056,0.00414,0.0477,0.714
Word Up,260000,61,0.878,0.84,-13.105,116.222,0.0421,0.064,0.0035,0.053,0.882
Fancy Footwork,198093,55,0.699,0.902,-3.183,129.963,0.00628,0.0314,0.0359,0.132,0.608
I'm Every Woman,249600,65,0.603,0.886,-7.301,114.045,0.0418,0.0465,0.000171,0.295,0.727
You Are Everything,175506,57,0.507,0.636,-7.538,142.248,0.849,0.0401,0.0,0.646,0.702
After the Love Has Gone,278040,64,0.424,0.443,-13.45,131.675,0.532,0.0382,0.000389,0.673,0.391
Upside Down,245600,67,0.873,0.855,-8.559,107.868,0.179,0.0615,0.0285,0.0377,0.884
Me and Mrs. Jones,284906,61,0.294,0.528,-10.01,200.813,0.234,0.0471,0.0,0.147,0.452
"You're The First, The Last, My Everything - Edit",206936,69,0.633,0.542,-12.318,130.314,0.000679,0.0316,0.00434,0.0754,0.879
Candy,339933,57,0.705,0.709,-12.649,110.522,0.119,0.0489,1.69e-05,0.286,0.853
Reach Out I'll Be There,178533,62,0.607,0.599,-8.908,119.846,0.0253,0.0282,0.0,0.188,0.735
Let It Whip,281280,57,0.82,0.838,-6.86,132.125,0.109,0.041,0.00228,0.0452,0.947
Too Much Heaven,296000,67,0.496,0.44,-13.212,165.917,0.44,0.0466,9.07e-05,0.725,0.353
Ain't No Woman (Like The One I've Got),187773,56,0.562,0.592,-9.694,99.05,0.33,0.0393,1.25e-05,0.0882,0.869
September,215080,62,0.694,0.831,-7.288,125.901,0.165,0.0301,0.000892,0.25,0.98
You Make Me Feel Brand New,288440,62,0.453,0.359,-8.567,76.015,0.849,0.0247,3.02e-05,0.137,0.178
The Rubberband Man,213000,60,0.801,0.446,-14.604,97.894,0.74,0.0745,0.038,0.0832,0.924
Crave You - Adventure Club Remix,236930,57,0.643,0.693,-5.645,140.0,0.00595,0.0946,0.000118,0.0726,0.083
Stop! In The Name Of Love,172906,60,0.612,0.444,-12.752,114.961,0.531,0.0293,0.0,0.126,0.503
Tarzan Boy,378946,70,0.684,0.573,-12.3,107.363,0.318,0.0261,0.028,0.306,0.716
Lose My Mind,181935,64,0.646,0.898,-6.27,124.002,0.00119,0.0358,0.0406,0.189,0.62
I Can't Wait,218826,56,0.785,0.844,-4.63,103.968,0.166,0.0574,0.002,0.0681,0.94
"Outstanding - Original 12"" Mix",375400,56,0.792,0.476,-11.707,98.871,0.372,0.0412,0.0157,0.027,0.82
Ain't Nobody,285253,64,0.825,0.811,-9.226,104.28,0.258,0.0524,0.000276,0.132,0.789
Wishing on a Star,291760,57,0.335,0.422,-15.172,97.66,0.716,0.0519,4.03e-05,0.0455,0.553
Cutie Pie,328893,54,0.868,0.541,-10.051,102.471,0.105,0.053,3.84e-05,0.046,0.96
Let the Music Play,214379,57,0.709,0.687,-10.462,114.717,0.000893,0.0519,0.000151,0.092,0.765
Sweet Thing,200146,56,0.71,0.387,-12.82,80.557,0.725,0.0484,0.00617,0.113,0.806
You'll Never Find Another Love Like Mine,266200,61,0.691,0.718,-8.457,110.623,0.148,0.0317,4.81e-05,0.108,0.934
The Rapture Pt.III,417812,70,0.72,0.534,-11.949,120.009,0.0223,0.0375,0.86,0.11,0.0393
Reasons,299333,58,0.604,0.43,-10.624,126.632,0.212,0.0356,0.0,0.159,0.574
Rock the Boat,202573,62,0.596,0.58,-9.72,107.182,0.256,0.0446,0.0,0.1,0.884
Fantastic Voyage,370893,53,0.816,0.602,-11.924,114.768,0.134,0.0755,4.23e-05,0.152,0.963
All Night Long,343933,54,0.796,0.431,-10.3,94.875,0.171,0.214,0.00811,0.0894,0.667
Hot Stuff,314760,65,0.823,0.744,-13.98,120.471,0.0055,0.0316,0.033,0.0707,0.966
Le Freak - 2018 Remaster,331360,64,0.91,0.641,-11.316,118.533,0.0258,0.0589,6.42e-05,0.0642,0.903
I Wanna Get Next To You,238200,54,0.62,0.179,-19.981,130.864,0.835,0.0314,0.03,0.0928,0.675
Harvest Moon,368773,60,0.782,0.621,-5.825,106.022,0.288,0.0411,0.537,0.583,0.917
Ain't Nobody,280853,63,0.8,0.878,-7.109,104.282,0.189,0.0434,0.000104,0.14,0.816
Whatcha See Is Whatcha Get,214973,56,0.641,0.74,-8.425,152.939,0.249,0.118,0.0,0.281,0.914
The Way You Do The Things You Do,165744,55,0.618,0.704,-4.686,124.218,0.159,0.0321,0.000264,0.358,0.742
I Feel for You,343400,58,0.698,0.912,-8.993,124.917,0.0145,0.0675,0.0225,0.279,0.797
Words - Original Version 1983,208000,73,0.536,0.782,-5.569,123.78,0.347,0.0568,1.68e-05,0.123,0.543
Strawberry Letter 23,299066,58,0.73,0.622,-11.7,90.973,0.269,0.0532,0.00874,0.111,0.752
Please Don't Go - Single Version,230533,53,0.482,0.615,-11.093,96.307,0.00888,0.0398,1.78e-06,0.0431,0.437
More Than A Woman - SG's Paradise Edit,357936,61,0.679,0.762,-4.253,105.407,0.00469,0.0316,0.23,0.0446,0.511
Through the Fire,288653,62,0.563,0.593,-7.099,130.744,0.192,0.0322,1.85e-05,0.145,0.428
Fantasy,226213,62,0.666,0.714,-9.448,89.018,0.291,0.0617,0.0212,0.128,0.69
Jungle Boogie,186533,59,0.808,0.85,-8.772,106.855,0.115,0.0868,0.000109,0.316,0.717
Natural High,240466,53,0.347,0.365,-10.23,169.792,0.646,0.0442,2.44e-06,0.21,0.378
Computer Love,283626,53,0.679,0.709,-5.851,84.543,0.676,0.133,0.0,0.292,0.673
What A Feeling,244533,67,0.532,0.729,-6.84,121.97,0.382,0.0474,0.0,0.366,0.595
I'm Your Boogie Man,242133,53,0.753,0.753,-13.023,113.068,0.0144,0.0436,4.43e-05,0.0711,0.913
Get Down Tonight - 2004 Remaster,317160,53,0.671,0.776,-11.414,112.629,0.137,0.0282,0.00649,0.394,0.92
Yearning For Your Love,340933,52,0.586,0.437,-10.306,90.717,0.0953,0.0264,4.72e-06,0.124,0.458
Rock This Party (Everybody Dance Now),245466,70,0.893,0.823,-3.708,128.011,0.0722,0.122,0.0,0.0515,0.901
I Want to Be Your Man - Remastered Version,251333,53,0.408,0.513,-12.146,81.925,0.0468,0.0762,0.0,0.112,0.426
Fame,316066,65,0.7,0.73,-8.763,130.519,0.132,0.0311,0.0,0.133,0.961
Cherish - Single Version,238000,66,0.643,0.568,-9.903,95.17,0.135,0.0222,0.0,0.195,0.434
More Bounce to the Ounce,311120,53,0.85,0.818,-8.623,105.266,0.124,0.0904,0.00135,0.349,0.839
Passion,132746,55,0.777,0.721,-6.951,106.956,0.476,0.071,0.0512,0.27,0.88
Jive Talkin',222266,58,0.811,0.545,-12.969,105.911,0.155,0.0579,0.0853,0.156,0.734
Good Times - 2018 Remaster,486186,53,0.869,0.503,-12.804,112.664,0.0818,0.0479,0.00837,0.187,0.914
Shooting Stars,227026,61,0.664,0.717,-5.699,124.989,0.0528,0.0391,0.000348,0.138,0.555
Stayin' Alive,92866,74,0.707,0.535,-19.793,103.644,0.113,0.0436,0.00615,0.0884,0.641
Before I Let Go,236106,52,0.777,0.556,-5.648,103.054,0.179,0.0346,1.46e-06,0.12,0.964
The Bomb! (These Sound Fall into My Mind) - Radio Edit,203826,52,0.781,0.881,-3.804,125.935,0.0119,0.0423,0.389,0.0797,0.868
Lady (You Bring Me Up),293226,55,0.892,0.593,-9.429,120.979,0.2,0.0405,0.000339,0.0996,0.867
September,215080,60,0.694,0.831,-7.288,125.901,0.165,0.0301,0.000892,0.25,0.98
Kiss and Say Goodbye,266733,59,0.645,0.42,-10.09,129.084,0.555,0.0624,0.0,0.125,0.583
Shake Your Groove Thing,346133,58,0.863,0.726,-6.649,132.574,0.415,0.0494,0.0302,0.0735,0.93
Remind Me - Remastered,319893,54,0.807,0.475,-9.003,91.193,0.334,0.0458,0.0392,0.0781,0.84
Pick Up the Pieces,239908,51,0.768,0.853,-5.915,107.234,0.0548,0.0427,0.13,0.0188,0.889
That's the Way of the World,345506,54,0.586,0.552,-11.153,82.0,0.593,0.0488,0.00101,0.31,0.732
Bad Girls,295106,60,0.857,0.7,-14.506,120.529,0.00387,0.0358,0.0162,0.411,0.973
Les Fleurs,199293,57,0.441,0.499,-9.453,151.878,0.665,0.0484,2.87e-06,0.211,0.513
"I Can't Help Myself (Sugar Pie, Honey Bunch)",163680,55,0.688,0.726,-4.85,126.813,0.188,0.0284,0.0,0.0624,0.964
If You Don't Know Me by Now (feat. Teddy Pendergrass),205906,57,0.345,0.465,-9.55,94.983,0.721,0.0355,0.000371,0.582,0.457
Jump (Original Mix),262560,61,0.846,0.826,-7.909,134.454,0.0867,0.098,0.0,0.12,0.813
Come See About Me,163093,55,0.732,0.505,-11.735,126.319,0.688,0.0464,1.04e-06,0.146,0.866
Hot Hands,253090,59,0.849,0.558,-9.23,109.991,0.0498,0.0437,0.00634,0.119,0.35
Conga!,254000,62,0.789,0.656,-14.825,122.237,0.168,0.0474,0.0409,0.0311,0.865
Back Stabbers,186093,55,0.751,0.714,-11.614,124.379,0.317,0.0374,0.0,0.639,0.935
I Can Dream About You,252600,57,0.754,0.562,-11.275,113.019,0.0835,0.0489,0.0,0.0328,0.897
Let It Whip,287000,51,0.826,0.9,-4.383,132.099,0.112,0.0411,0.00136,0.0875,0.954
Love Really Hurts Without You,179013,69,0.518,0.907,-3.732,140.982,0.00221,0.0343,1.15e-05,0.0838,0.961
Ring My Bell,491933,59,0.781,0.556,-13.067,125.999,0.0661,0.0611,0.0907,0.0339,0.968
Boogie Shoes,132160,51,0.93,0.767,-11.646,119.538,0.454,0.0579,0.192,0.0692,0.972
Nightshift,306560,61,0.727,0.559,-10.194,105.06,0.62,0.0392,0.0114,0.0629,0.393
Feel Like Makin' Love,175400,59,0.681,0.264,-21.861,93.809,0.833,0.0309,0.441,0.103,0.692
Boogie Nights,303640,55,0.629,0.615,-10.972,118.805,0.169,0.0433,7.23e-05,0.132,0.673
Love Rollercoaster,290160,55,0.613,0.82,-10.175,115.125,0.181,0.0737,1.45e-06,0.049,0.465
It's Raining Men,325426,60,0.69,0.744,-12.721,136.918,0.034,0.0613,0.598,0.453,0.56
I Started A Joke,188306,65,0.31,0.464,-8.755,144.775,0.156,0.0275,8.17e-06,0.132,0.431
Get Down On It - Single Version,212906,59,0.879,0.626,-6.344,110.864,0.205,0.0604,6.07e-05,0.056,0.968
The Second Time Around,223293,50,0.801,0.388,-12.135,112.367,0.0123,0.0505,7.16e-05,0.0924,0.577
The Weekend - Radio Edit,192173,64,0.686,0.832,-5.673,127.023,0.000321,0.0725,0.127,0.583,0.884
Sometimes,253728,56,0.58,0.86,-4.994,124.992,0.0176,0.0334,8.02e-05,0.175,0.43
Nanã,190826,59,0.685,0.735,-6.337,94.035,0.191,0.0334,0.038,0.188,0.385
Save The Best For Last,218733,62,0.528,0.234,-15.784,95.911,0.641,0.0283,0.0,0.183,0.191
Neither One Of Us (Wants To Be The First To Say Goodbye),264266,54,0.511,0.346,-14.28,140.29,0.685,0.0388,0.000124,0.294,0.599
"Night Fever - From ""Saturday Night Fever"" Soundtrack",212800,61,0.726,0.779,-7.057,109.133,0.0178,0.0251,0.00178,0.104,0.841
When Will I See You Again,178746,58,0.564,0.593,-9.245,120.753,0.732,0.0328,0.00366,0.343,0.766
Curious,306453,49,0.79,0.487,-9.881,100.668,0.0174,0.0532,0.000438,0.333,0.467
Celebration - Single Version,218786,60,0.824,0.837,-7.124,121.143,0.0216,0.054,0.00944,0.123,0.947
"(Shake, Shake, Shake) Shake Your Booty",186906,52,0.649,0.825,-12.243,112.124,0.00606,0.0335,0.154,0.104,0.961
Oh Girl,216280,52,0.418,0.402,-12.942,133.683,0.226,0.0288,0.0,0.103,0.601
Canopée,276293,63,0.704,0.692,-6.558,96.005,0.0942,0.0304,0.0109,0.0922,0.369
"Aquarius/Let The Sunshine In (The Flesh Failures) - From the Musical ""Hair""",289293,55,0.293,0.74,-6.098,118.225,0.445,0.0399,0.00152,0.0998,0.514
Intoxicated - Radio Edit,159560,52,0.792,0.688,-4.008,124.987,0.00435,0.0386,0.00477,0.0972,0.502
The Agony And The Ecstasy,289240,49,0.49,0.361,-10.841,139.119,0.678,0.034,5.29e-05,0.12,0.423
Sail On,240240,53,0.481,0.317,-17.356,142.417,0.413,0.0455,1.1e-05,0.0786,0.435
Always and Forever,377106,50,0.333,0.156,-17.574,71.441,0.286,0.0335,2.32e-05,0.151,0.195
Ladies Night - Single Version,208733,58,0.651,0.777,-7.853,111.707,0.186,0.167,0.0,0.0474,0.92
Don't Leave Me This Way,217733,53,0.553,0.839,-5.844,121.819,0.153,0.116,6e-05,0.13,0.673
Hollywood Swinging,279933,54,0.623,0.824,-8.971,111.356,0.0195,0.0479,0.13,0.0491,0.574
Strangers,220726,55,0.657,0.879,-4.91,106.016,0.0688,0.0741,0.776,0.0799,0.901
Physical - Remastered 2021,225992,59,0.84,0.728,-8.473,124.066,0.127,0.0436,0.00114,0.114,0.74
Use ta Be My Girl - Single Version,198173,52,0.65,0.614,-7.367,111.477,0.528,0.0522,0.0,0.167,0.872
It's The Same Old Song,166400,54,0.704,0.678,-9.121,125.185,0.143,0.0295,0.0,0.119,0.977
I Wish It Would Rain,162706,51,0.388,0.449,-12.584,179.651,0.443,0.088,0.0,0.265,0.692
Fresh,266560,63,0.838,0.381,-16.867,117.708,0.00912,0.0351,0.0988,0.0364,0.95
"So Ruff, so Tuff",215840,50,0.883,0.667,-12.143,111.402,0.271,0.0601,0.000856,0.115,0.91
