Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Feel Good Inc.,222640,82,0.818,0.705,-6.679,138.559,0.00836,0.177,0.00233,0.613,0.772
Kryptonite,233933,78,0.545,0.865,-5.708,99.005,0.00664,0.0286,1.1e-05,0.168,0.543
Dragula,222826,78,0.59,0.963,-6.489,125.033,8.75e-05,0.0676,0.000105,0.0781,0.586
All The Small Things,167066,81,0.434,0.897,-4.918,148.708,0.0103,0.0488,0.0,0.612,0.685
Drops of Jupiter (Tell Me),259933,80,0.481,0.638,-5.862,79.064,0.153,0.0276,0.0,0.154,0.497
Sweet Dreams (Are Made of This) - 2005 Remaster,216933,83,0.692,0.711,-7.498,125.135,0.225,0.0317,0.0,0.12,0.875
(Don't Fear) The Reaper,308120,77,0.333,0.927,-8.55,141.466,0.0029,0.0733,0.000208,0.297,0.385
"Hey, Soul Sister",216773,83,0.673,0.886,-4.44,97.012,0.185,0.0431,0.0,0.0826,0.795
Have You Ever Seen The Rain,160133,84,0.741,0.697,-7.028,116.109,0.0664,0.0277,2.28e-05,0.133,0.774
Break Stuff,166706,80,0.432,0.884,-6.657,108.835,0.0128,0.128,0.000457,0.166,0.619
Seven Nation Army,232106,82,0.743,0.446,-7.807,123.596,0.0039,0.0683,0.118,0.337,0.278
Jessie's Girl,194120,73,0.727,0.834,-5.851,131.7,0.165,0.0496,0.0,0.105,0.816
Enter Sandman (Remastered),331560,74,0.566,0.834,-8.412,123.296,0.00277,0.0298,0.008,0.0625,0.621
Good Riddance (Time of Your Life),153466,81,0.475,0.432,-7.844,94.605,0.183,0.0302,0.0,0.161,0.648
Reflections,244013,83,0.648,0.594,-7.027,113.983,0.114,0.0293,0.0462,0.116,0.544
Here Comes The Sun - Remastered 2009,185733,82,0.557,0.54,-10.484,129.177,0.0339,0.0347,0.00248,0.179,0.394
"You're Gonna Go Far, Kid",177826,81,0.55,0.917,-3.159,126.115,0.00428,0.0638,0.0,0.197,0.601
Brain Stew,193000,77,0.559,0.543,-5.429,75.958,0.00133,0.302,2e-05,0.0577,0.337
I Hate Everything About You,231480,78,0.498,0.83,-5.157,89.342,0.00461,0.0421,0.0,0.139,0.453
Landslide,199493,78,0.414,0.161,-22.32,159.375,0.883,0.0318,0.000223,0.117,0.423
Don't Dream It's Over,236933,81,0.439,0.421,-17.227,81.833,0.0148,0.0411,4.88e-05,0.0697,0.551
Would That I,268293,74,0.521,0.526,-6.032,130.694,0.243,0.0281,0.00537,0.108,0.502
"Paint It, Black",202266,82,0.464,0.795,-9.267,158.691,0.0493,0.0926,0.00244,0.399,0.612
Zombie,306440,82,0.309,0.649,-8.994,166.915,0.0158,0.035,0.00591,0.367,0.312
Toxicity,218933,82,0.413,0.873,-4.151,116.68,0.000264,0.0536,0.00249,0.204,0.48
Electric Feel,229640,78,0.763,0.803,-3.713,103.04,0.0709,0.0351,0.285,0.348,0.561
Linger - SiriusXM Session,186000,78,0.404,0.393,-6.607,98.217,0.806,0.0262,0.000443,0.0938,0.403
Fishin' in the Dark,201600,72,0.745,0.347,-13.145,155.539,0.246,0.0418,0.0,0.0861,0.899
Africa,295893,84,0.671,0.373,-18.064,92.718,0.257,0.0323,8.01e-05,0.0481,0.732
Safe and Sound,192789,83,0.655,0.818,-4.852,117.956,0.000182,0.0319,0.00399,0.104,0.767
Do I Wanna Know?,272394,84,0.548,0.532,-7.596,85.03,0.186,0.0323,0.000263,0.217,0.405
Heavy Is the Crown,167012,87,0.571,0.928,-3.725,127.939,0.00932,0.0453,0.0,0.297,0.489
Still into You,216013,79,0.602,0.923,-3.763,136.01,0.0098,0.044,0.0,0.0561,0.765
Can't Stop,269000,82,0.618,0.938,-3.442,91.455,0.0179,0.0456,0.0,0.167,0.875
My Own Worst Enemy,169026,74,0.494,0.946,-2.757,103.408,0.00129,0.0637,0.0,0.398,0.741
Heathens,195920,82,0.732,0.396,-9.348,90.024,0.0841,0.0286,3.58e-05,0.105,0.548
