Track_Name,Track Duration (ms),Popularity,Danceability,Energy,Loudness,Tempo,Acousticness,Speechiness,Instrumentalness,Liveness,Valence
Telephones,212432,79,0.526,0.447,-9.268,74.995,0.00283,0.0274,0.0301,0.109,0.183
I Bet on Losing Dogs,170240,81,0.398,0.493,-9.561,82.048,0.00347,0.0303,0.000157,0.106,0.412
K.,320030,82,0.454,0.401,-10.251,93.703,0.14,0.0264,0.837,0.136,0.319
After Midnight,204857,77,0.708,0.891,-3.826,110.058,0.0248,0.0777,0.0,0.0578,0.84
Show Me How,215110,79,0.791,0.271,-11.959,166.002,0.672,0.0431,0.543,0.102,0.564
Washing Machine Heart,128198,81,0.613,0.822,-4.087,105.997,0.0092,0.026,0.506,0.429,0.567
Would That I,268293,74,0.521,0.526,-6.032,130.694,0.243,0.0281,0.00537,0.108,0.502
(dream),84701,79,0.316,0.318,-13.164,147.275,0.918,0.0339,0.861,0.119,0.135
ceilings,182887,80,0.516,0.322,-11.762,148.005,0.473,0.0292,0.00194,0.215,0.261
Need 2,191796,77,0.552,0.634,-8.302,76.557,0.00994,0.0261,0.202,0.0798,0.213
Are You Bored Yet? (feat. Clairo),178000,79,0.682,0.683,-6.444,120.023,0.156,0.0287,2.32e-05,0.273,0.64
Electric Feel,229640,78,0.763,0.803,-3.713,103.04,0.0709,0.0351,0.285,0.348,0.561
Tek It,191823,79,0.423,0.913,-5.354,146.995,6.53e-05,0.0655,0.0,0.269,0.596
Linger - SiriusXM Session,186000,78,0.404,0.393,-6.607,98.217,0.806,0.0262,0.000443,0.0938,0.403
I Know You,251666,76,0.454,0.385,-12.849,154.918,0.287,0.0313,9.97e-05,0.0616,0.144
Bags,260519,78,0.742,0.546,-7.694,104.996,0.172,0.0315,0.38,0.115,0.868
Do I Wanna Know?,272394,84,0.548,0.532,-7.596,85.03,0.186,0.0323,0.000263,0.217,0.405
From the Subway Train,57370,78,0.392,0.429,-10.279,72.104,0.527,0.0462,0.015,0.217,0.105
